dataset,subject,source,split_strategy,fs_hz,n_channels,n_classes,channels,classes,label_map,time_window_s,bandpass_hz,train_sessions,test_sessions,standardization_method,standardization_fit_on,standardization_mean,standardization_std,qc_enabled,qc_max_abs,n_rejected_total,bad_channel_candidates,meta_path,n_train,X_train_shape,X_train_dtype,y_train_dtype,train_left_hand_count,train_right_hand_count,train_feet_count,train_tongue_count,n_test,X_test_shape,X_test_dtype,y_test_dtype,test_left_hand_count,test_right_hand_count,test_feet_count,test_tongue_count
BCICIV_2a,1,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,-5.678650995832868e-05,6.3166937828063965,True,100.0,0,[],BCICIV_2a/subject_01/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,288,"[288, 22, 1000]",float32,int64,72,72,72,72
BCICIV_2a,2,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,0.0035980772227048874,6.2145586013793945,True,100.0,0,[],BCICIV_2a/subject_02/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,288,"[288, 22, 1000]",float32,int64,72,72,72,72
BCICIV_2a,3,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,-0.0014406591653823853,8.088358879089355,True,100.0,1,[],BCICIV_2a/subject_03/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,287,"[287, 22, 1000]",float32,int64,72,72,72,71
BCICIV_2a,4,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,-0.0008150264038704336,5.768879413604736,True,100.0,0,[],BCICIV_2a/subject_04/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,288,"[288, 22, 1000]",float32,int64,72,72,72,72
BCICIV_2a,5,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,0.004097738303244114,5.261484622955322,True,100.0,0,[],BCICIV_2a/subject_05/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,288,"[288, 22, 1000]",float32,int64,72,72,72,72
BCICIV_2a,6,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,-0.005022659432142973,9.000542640686035,True,100.0,0,[],BCICIV_2a/subject_06/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,288,"[288, 22, 1000]",float32,int64,72,72,72,72
BCICIV_2a,7,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,-0.001242422265931964,5.520652770996094,True,100.0,0,[],BCICIV_2a/subject_07/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,288,"[288, 22, 1000]",float32,int64,72,72,72,72
BCICIV_2a,8,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,0.009049488231539726,10.015199661254883,True,100.0,0,[],BCICIV_2a/subject_08/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,288,"[288, 22, 1000]",float32,int64,72,72,72,72
BCICIV_2a,9,MOABB,official_session,250.0,22,4,"[""Fz"", ""FC3"", ""FC1"", ""FCz"", ""FC2"", ""FC4"", ""C5"", ""C3"", ""C1"", ""Cz"", ""C2"", ""C4"", ""C6"", ""CP3"", ""CP1"", ""CPz"", ""CP2"", ""CP4"", ""P1"", ""Pz"", ""P2"", ""POz""]","[""left_hand"", ""right_hand"", ""feet"", ""tongue""]","{""left_hand"": 0, ""right_hand"": 1, ""feet"": 2, ""tongue"": 3}","[0.0, 4.0]","[4.0, 38.0]","[""0train""]","[""1test""]",global_zscore,train_only,-0.0012644854141399264,10.90969467163086,True,100.0,0,[],BCICIV_2a/subject_09/meta.json,288,"[288, 22, 1000]",float32,int64,72,72,72,72,288,"[288, 22, 1000]",float32,int64,72,72,72,72
BCICIV_2b,1,MOABB,official_session,250.0,3,2,"[""C3"", ""Cz"", ""C4""]","[""left_hand"", ""right_hand""]","{""left_hand"": 0, ""right_hand"": 1}","[0.0, 4.0]","[4.0, 38.0]","[""0train"", ""1train"", ""2train""]","[""3test"", ""4test""]",global_zscore,train_only,0.00020341563504189253,2.401477813720703,True,100.0,0,[],BCICIV_2b/subject_01/meta.json,400,"[400, 3, 1000]",float32,int64,200,200,,,320,"[320, 3, 1000]",float32,int64,160,160,,
